nom;tasca;punts;hora_entrega
gonzalo;1;4;10:10
gonzalo;2;6;11:20
gonzalo;2;3;11:00
gonzalo;3;5;11:45
gonzalo;4;2;11:59
emilson;1;3;20:00
emilson;2;6;21:05
emilson;3;2;22:10
emilson;4;5;22:40
georgina;1;6;14:10
georgina;2;4;15:15
georgina;3;5;16:00
georgina;4;2;17:00
marina;1;5;09:40
marina;2;3;10:20
marina;3;6;11:15
marina;4;4;11:50
oriol;1;2;10:40
oriol;2;6;11:30
oriol;2;4;11:00
oriol;3;3;12:00
oriol;4;5;12:20
carla;1;6;11:20
carla;2;4;12:10
carla;3;3;12:50
carla;4;5;13:30
julia;1;4;12:20
julia;2;5;13:25
julia;3;6;14:00
julia;4;2;14:40
mario;1;2;09:30
mario;2;3;10:15
mario;3;4;11:00
mario;4;6;11:50
nina;1;6;11:00
nina;2;5;12:10
nina;2;3;11:40
nina;3;4;13:00
nina;4;5;13:30
roger;1;3;13:00
roger;2;4;14:05
roger;3;6;14:40
roger;4;2;15:00
pau;1;5;09:40
pau;2;2;10:20
pau;3;4;11:00
pau;4;3;11:30
laia;1;6;10:15
laia;2;4;11:00
laia;3;3;11:50
laia;4;5;12:00
mireia;1;5;12:00
mireia;2;3;13:00
mireia;2;6;12:40
mireia;3;4;14:00
mireia;4;2;14:30
jan;1;3;12:20
jan;2;4;13:10
jan;3;6;14:00
jan;4;5;14:50
noa;1;6;13:10
noa;2;4;14:05
noa;3;5;14:50
noa;4;3;15:10
claudia;1;5;14:00
claudia;2;6;15:10
claudia;3;4;15:40
claudia;4;2;16:00
eric;1;2;15:00
eric;2;4;16:00
eric;3;5;16:45
eric;4;6;17:00
adria;1;4;16:00
adria;2;6;17:00
adria;3;3;17:40
adria;4;5;18:00
sara;1;6;16:40
sara;2;4;17:30
sara;3;5;18:10
sara;4;3;19:20
arnau;1;3;17:45
arnau;2;4;18:30
arnau;3;2;19:40
arnau;4;5;20:10
eva;1;6;18:40
eva;2;5;19:30
eva;3;4;20:20
eva;4;3;20:50
pol;1;5;19:20
pol;2;6;20:10
pol;3;4;20:55
pol;4;3;21:30
marti;1;4;20:00
marti;2;6;21:00
marti;3;3;22:00
marti;4;2;22:40
helena;1;6;20:40
helena;2;4;21:20
helena;3;5;22:00
helena;4;3;22:30
victor;1;5;09:10
victor;2;4;10:05
victor;3;6;10:50
victor;4;3;11:05
